
 При x = 213 и eps = 1e-010 таблица выглядит следующим образом: 
|________i_______|________a_______|________S_______|
|      191       |  5.4561e+092   |  4.0778e+093   |
|      192       |  6.0844e+092   |  4.6862e+093   |
|      193       |  6.7497e+092   |  5.3612e+093   |
|      194       |  7.4489e+092   |  6.1061e+093   |
|      195       |  8.1783e+092   |  6.9239e+093   |
|      196       |  8.9329e+092   |  7.8172e+093   |
|      197       |  9.7075e+092   |  8.7879e+093   |
|      198       |  1.0496e+093   |  9.8375e+093   |
|      199       |   1.129e+093   |  1.0967e+094   |
|      200       |  1.2084e+093   |  1.2175e+094   |
|      201       |   1.287e+093   |  1.3462e+094   |
|      202       |  1.3638e+093   |  1.4826e+094   |
|      203       |   1.438e+093   |  1.6264e+094   |
|      204       |  1.5088e+093   |  1.7773e+094   |
|      205       |  1.5753e+093   |  1.9348e+094   |
|      206       |  1.6368e+093   |  2.0985e+094   |
|      207       |  1.6923e+093   |  2.2677e+094   |
|      208       |  1.7414e+093   |  2.4418e+094   |
|      209       |  1.7832e+093   |  2.6201e+094   |
|      210       |  1.8173e+093   |  2.8019e+094   |
|      211       |  1.8432e+093   |  2.9862e+094   |
|      212       |  1.8606e+093   |  3.1723e+094   |
|      213       |  1.8693e+093   |  3.3592e+094   |
|      214       |  1.8693e+093   |  3.5461e+094   |
|      215       |  1.8605e+093   |  3.7322e+094   |
|      216       |  1.8432e+093   |  3.9165e+094   |
|      217       |  1.8175e+093   |  4.0982e+094   |
|      218       |   1.784e+093   |  4.2766e+094   |
|      219       |   1.743e+093   |  4.4509e+094   |
|      220       |  1.6953e+093   |  4.6205e+094   |
|      221       |  1.6413e+093   |  4.7846e+094   |
|      222       |  1.5818e+093   |  4.9428e+094   |
|      223       |  1.5177e+093   |  5.0945e+094   |
|      224       |  1.4496e+093   |  5.2395e+094   |
|      225       |  1.3784e+093   |  5.3773e+094   |
|      226       |  1.3048e+093   |  5.5078e+094   |
|      227       |  1.2298e+093   |  5.6308e+094   |
|      228       |  1.1539e+093   |  5.7462e+094   |
|      229       |   1.078e+093   |   5.854e+094   |
|      230       |  1.0026e+093   |  5.9543e+094   |
|      231       |   9.285e+092   |  6.0471e+094   |
|      232       |  8.5613e+092   |  6.1327e+094   |
|      233       |    7.86e+092   |  6.2113e+094   |
|      234       |  7.1852e+092   |  6.2832e+094   |
|      235       |  6.5403e+092   |  6.3486e+094   |
|      236       |  5.9279e+092   |  6.4079e+094   |
|      237       |  5.3501e+092   |  6.4614e+094   |
|      238       |  4.8082e+092   |  6.5094e+094   |
|      239       |  4.3031e+092   |  6.5525e+094   |
|      240       |  3.8349e+092   |  6.5908e+094   |
|      241       |  3.4034e+092   |  6.6248e+094   |
|      242       |  3.0079e+092   |  6.6549e+094   |
|      243       |  2.6474e+092   |  6.6814e+094   |
|      244       |  2.3206e+092   |  6.7046e+094   |
|      245       |  2.0257e+092   |  6.7249e+094   |
|      246       |  1.7611e+092   |  6.7425e+094   |
|      247       |  1.5248e+092   |  6.7577e+094   |
|      248       |  1.3149e+092   |  6.7709e+094   |
|      249       |  1.1293e+092   |  6.7822e+094   |
|      250       |  9.6602e+091   |  6.7918e+094   |
|      251       |  8.2304e+091   |  6.8001e+094   |
|      252       |  6.9843e+091   |   6.807e+094   |
|      253       |  5.9033e+091   |  6.8129e+094   |
|      254       |  4.9699e+091   |  6.8179e+094   |
|      255       |  4.1676e+091   |  6.8221e+094   |
|      256       |  3.4811e+091   |  6.8256e+094   |
|      257       |  2.8963e+091   |  6.8285e+094   |
|      258       |  2.4004e+091   |  6.8309e+094   |
|      259       |  1.9817e+091   |  6.8328e+094   |
|      260       |  1.6297e+091   |  6.8345e+094   |
|      261       |  1.3351e+091   |  6.8358e+094   |
|      262       |  1.0896e+091   |  6.8369e+094   |
|      263       |  8.8577e+090   |  6.8378e+094   |
|      264       |  7.1736e+090   |  6.8385e+094   |
|      265       |  5.7877e+090   |  6.8391e+094   |
|      266       |   4.652e+090   |  6.8395e+094   |
|      267       |   3.725e+090   |  6.8399e+094   |
|      268       |  2.9716e+090   |  6.8402e+094   |
|      269       |  2.3617e+090   |  6.8404e+094   |
|      270       |    1.87e+090   |  6.8406e+094   |
|      271       |  1.4752e+090   |  6.8408e+094   |
|      272       |  1.1595e+090   |  6.8409e+094   |
|      273       |  9.0797e+089   |   6.841e+094   |
|      274       |   7.084e+089   |  6.8411e+094   |
|      275       |  5.5069e+089   |  6.8411e+094   |
|      276       |  4.2653e+089   |  6.8412e+094   |
|      277       |  3.2916e+089   |  6.8412e+094   |
|      278       |  2.5311e+089   |  6.8412e+094   |
